stream,partitions,exact_manifest_rows,file_bytes,symbols,start_ms,end_ms_exclusive,first_date,last_date,zero_row_partition_count,zero_row_partitions,finding_status
agg_trades,415,427185688,6056825892,BTCUSDT|ETHUSDT|SOLUSDT,1771113600000,1784851200000,2026-02-15,2026-07-23,9,BTCUSDT:2026-05-01|BTCUSDT:2026-05-27|BTCUSDT:2026-06-02|BTCUSDT:2026-06-03|BTCUSDT:2026-06-04|ETHUSDT:2026-05-01|ETHUSDT:2026-05-27|ETHUSDT:2026-06-03|ETHUSDT:2026-06-04,VERIFIED FROM CODE/DATA
book_ticker,305,5723357020,133319589442,BTCUSDT|ETHUSDT|SOLUSDT,1775865600000,1784851200000,2026-04-11,2026-07-23,15,BTCUSDT:2026-06-06|BTCUSDT:2026-06-07|BTCUSDT:2026-06-08|BTCUSDT:2026-06-09|BTCUSDT:2026-06-10|ETHUSDT:2026-06-06|ETHUSDT:2026-06-07|ETHUSDT:2026-06-08|ETHUSDT:2026-06-09|ETHUSDT:2026-06-10|SOLUSDT:2026-06-06|SOLUSDT:2026-06-07|SOLUSDT:2026-06-08|SOLUSDT:2026-06-09|SOLUSDT:2026-06-10,VERIFIED FROM CODE/DATA
mark_prices,415,24441427,313922355,BTCUSDT|ETHUSDT|SOLUSDT,1771113600000,1784851200000,2026-02-15,2026-07-23,0,,VERIFIED FROM CODE/DATA
